# Server version 0.08 running on web112012.wireless.mcgill.ca:8123
# Game ID: 87
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Apr 06 13:14:12 EDT 2014
# Player 1: Player-0, 'random', running on web112012.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on web112012.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web112012.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web112012.wireless.mcgill.ca
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (1,0) (3,2)
0 (3,2) (1,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (1,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (2,0) (4,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,1) (3,3)
0 (3,3) (5,1)
0 null null
1 (13,0) (11,2)
1 null null
2 (0,13) (2,11)
2 null null
3 (13,15) (11,13)
3 null null
0 (0,2) (2,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,14)
2 null null
3 (15,13) (13,11)
3 null null
0 (1,2) (3,4)
0 null null
1 (15,3) (13,5)
1 null null
2 (1,13) (3,11)
2 null null
3 (12,15) (10,13)
3 null null
0 (0,3) (2,5)
0 null null
1 (14,2) (12,4)
1 (12,4) (14,6)
1 null null
2 (0,12) (2,10)
2 null null
3 (13,14) (11,12)
3 (11,12) (9,14)
3 null null
0 (3,1) (5,3)
0 null null
1 (14,3) (12,5)
1 null null
2 (1,12) (3,10)
2 null null
3 (13,13) (11,11)
3 null null
0 (1,3) (3,5)
0 null null
1 (13,2) (11,4)
1 (11,4) (13,6)
1 null null
2 (3,14) (5,12)
2 null null
3 (12,14) (10,12)
3 null null
0 (1,4) (3,6)
0 null null
1 (12,1) (10,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (14,12) (12,10)
3 null null
0 (2,3) (4,5)
0 (4,5) (2,7)
0 null null
1 (14,4) (12,6)
1 null null
2 (1,11) (3,9)
2 null null
3 (11,14) (9,12)
3 null null
0 (4,2) (6,4)
0 null null
1 (13,4) (11,6)
1 null null
2 (4,13) (6,11)
2 null null
3 (12,12) (10,10)
3 null null
0 (2,4) (4,6)
0 null null
1 (11,2) (9,4)
1 null null
2 (2,11) (4,9)
2 null null
3 (11,13) (9,11)
3 null null
0 (2,5) (4,7)
0 null null
1 (13,5) (11,7)
1 null null
2 (2,10) (4,8)
2 null null
3 (13,11) (11,9)
3 null null
0 (5,3) (7,5)
0 null null
1 (10,3) (8,5)
1 (8,5) (6,5)
1 null null
2 (3,11) (5,9)
2 (5,9) (3,7)
2 (3,7) (5,5)
2 (5,5) (7,3)
2 null null
3 (10,13) (8,11)
3 null null
0 (2,7) (1,8)
1 (12,6) (10,8)
1 null null
2 (3,9) (5,7)
2 null null
3 (11,11) (9,9)
3 null null
0 (3,6) (5,8)
0 null null
1 (12,5) (10,7)
1 (10,7) (10,9)
1 (10,9) (10,11)
1 (10,11) (8,13)
1 (8,13) (10,15)
1 null null
2 (4,8) (6,6)
2 (6,6) (8,4)
2 (8,4) (10,4)
2 null null
3 (10,12) (8,10)
3 null null
0 (4,6) (6,8)
0 null null
1 (11,6) (11,8)
1 (11,8) (11,10)
1 (11,10) (9,10)
1 (9,10) (7,12)
1 null null
2 (4,9) (6,7)
2 null null
3 (9,12) (7,10)
3 null null
0 (6,4) (8,6)
0 null null
1 (15,0) (14,1)
2 (6,11) (8,9)
2 (8,9) (10,9)
2 (10,9) (12,9)
2 null null
3 (10,10) (8,8)
3 null null
0 (4,7) (6,9)
0 null null
1 (14,1) (12,1)
1 null null
2 (0,15) (1,14)
3 (11,9) (9,7)
3 null null
0 (3,4) (3,6)
0 null null
1 (13,1) (11,1)
1 null null
2 (1,14) (3,12)
2 null null
3 (9,11) (7,9)
3 (7,9) (5,9)
3 (5,9) (3,11)
3 (3,11) (3,9)
3 null null
0 (3,5) (3,7)
0 null null
1 (12,0) (10,2)
1 null null
2 (2,13) (4,11)
2 (4,11) (4,9)
2 null null
3 (9,9) (7,7)
3 (7,7) (9,5)
3 (9,5) (9,3)
3 null null
0 (3,6) (3,8)
0 (3,8) (5,10)
0 null null
1 (11,7) (9,9)
1 (9,9) (7,11)
1 (7,11) (7,13)
1 null null
2 (3,10) (3,8)
2 (3,8) (3,6)
2 null null
3 (8,10) (6,10)
3 null null
0 (6,9) (6,11)
0 (6,11) (8,13)
0 null null
1 (10,2) (8,4)
1 (8,4) (6,6)
