# Server version 0.08 running on web112053.wireless.mcgill.ca:8123
# Game ID: 368
# Board class: halma.CCBoard
# Timeout: 4000
# Date: Thu Apr 10 19:34:13 EDT 2014
# Player 1: Player-0, '260498767', running on wpa168181.wireless.mcgill.ca
# Player 2: Player-1, 's260488774Player', running on web112053.wireless.mcgill.ca
# Player 3: Player-2, 'monteP', running on wpa168181.wireless.mcgill.ca
# Player 4: Player-3, 's260488774Player', running on web112053.wireless.mcgill.ca
START Player-0 260498767
START Player-1 s260488774Player
START Player-2 monteP
START Player-3 s260488774Player
0 (1,0) (3,2)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,15) (3,13)
2 null null
3 (15,13) (13,11)
3 null null
0 (3,0) (4,1)
1 (13,0) (11,2)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,12) (12,10)
3 null null
0 (0,3) (1,4)
1 (12,1) (10,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (13,11) (11,9)
3 null null
0 (0,0) (1,0)
1 (15,3) (13,3)
1 null null
2 (3,15) (4,14)
3 (12,10) (10,8)
3 null null
0 (1,3) (2,4)
1 (14,3) (12,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (11,9) (9,7)
3 null null
0 (0,2) (1,3)
1 (10,3) (11,4)
2 (0,13) (2,11)
2 null null
3 (10,8) (8,6)
3 null null
0 (3,1) (4,2)
1 (12,0) (12,1)
2 (1,13) (3,11)
2 null null
3 (9,7) (7,5)
3 null null
0 (2,0) (3,1)
1 (12,1) (12,2)
2 (2,14) (4,12)
2 null null
3 (13,15) (11,13)
3 null null
0 (1,2) (2,3)
1 (11,2) (11,3)
2 (1,12) (1,11)
3 (12,15) (12,13)
3 null null
0 (0,1) (1,2)
1 (13,4) (12,4)
2 (0,12) (2,10)
2 null null
3 (12,14) (12,12)
3 null null
0 (1,0) (2,0)
1 (13,3) (11,5)
1 null null
2 (2,13) (4,11)
2 null null
3 (8,6) (7,7)
0 (4,1) (5,2)
1 (11,5) (10,5)
2 (3,14) (5,12)
2 null null
3 (7,5) (6,6)
0 (5,2) (6,3)
1 (12,2) (10,4)
1 (10,4) (10,6)
1 null null
2 (3,13) (5,11)
2 null null
3 (15,12) (14,12)
0 (6,3) (7,4)
1 (10,6) (9,6)
2 (2,12) (4,10)
2 null null
3 (14,12) (13,12)
0 (7,4) (8,5)
1 (10,5) (8,7)
1 null null
2 (1,11) (2,12)
3 (11,13) (11,12)
0 (8,5) (8,6)
1 (12,3) (10,5)
1 null null
2 (4,14) (5,13)
3 (11,12) (11,11)
0 (8,6) (9,7)
1 (12,4) (12,3)
2 (3,12) (5,10)
2 null null
3 (14,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (9,7) (10,7)
1 (14,0) (12,2)
1 (12,2) (10,4)
1 (10,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (6,8)
1 null null
2 (4,13) (6,11)
2 null null
3 (10,11) (10,10)
0 (2,0) (3,0)
1 (6,8) (6,9)
2 (5,10) (6,10)
3 (13,14) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 null null
0 (3,0) (4,1)
