# Server version 0.08 running on web112007.wireless.mcgill.ca:8123
# Game ID: 11
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sat Apr 05 20:07:53 EDT 2014
# Player 1: Player-0, 'random', running on web112007.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on web112007.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web112007.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web112007.wireless.mcgill.ca
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (5,3) (3,5)
0 null null
1 (5,11) (4,12)
2 (0,15) (0,14)
3 (10,15) (10,14)
0 (1,2) (0,1)
1 (15,3) (14,2)
2 (2,12) (0,10)
2 null null
3 (13,14) (13,15)
0 (0,5) (1,6)
1 (15,2) (13,2)
1 null null
2 (3,11) (2,10)
3 (11,12) (12,11)
0 (1,3) (0,4)
1 (14,1) (12,3)
1 null null
2 (2,13) (3,14)
3 (15,10) (14,10)
0 (8,2) (7,3)
1 (4,11) (2,13)
1 (2,13) (0,15)
1 null null
2 (3,12) (2,11)
3 (14,14) (13,13)
0 (3,5) (4,6)
1 (13,2) (11,4)
1 null null
2 (3,14) (2,15)
3 (15,15) (14,15)
0 (4,4) (5,5)
1 (12,3) (10,5)
1 null null
2 (2,15) (3,14)
3 (14,10) (15,10)
0 (1,1) (0,0)
1 (11,4) (9,6)
1 null null
2 (1,14) (2,13)
3 (13,9) (12,9)
0 (4,6) (5,7)
1 (10,5) (8,7)
1 (8,7) (6,9)
1 (6,9) (4,11)
1 null null
2 (2,13) (2,15)
2 (2,15) (4,13)
2 null null
3 (13,11) (14,10)
0 (3,4) (2,4)
1 (5,10) (3,12)
1 null null
2 (3,13) (2,12)
3 (13,13) (12,12)
0 (5,7) (4,6)
1 (4,11) (2,13)
1 null null
2 (3,14) (3,13)
3 (15,10) (13,10)
3 null null
0 (2,3) (1,3)
1 (3,12) (1,14)
1 null null
2 (1,12) (3,12)
2 (3,12) (5,12)
2 (5,12) (3,12)
2 (3,12) (1,12)
2 null null
3 (12,9) (11,8)
0 (2,1) (3,1)
1 (4,12) (3,12)
2 (0,10) (0,11)
3 (14,10) (13,9)
0 (0,0) (1,1)
1 (9,6) (8,7)
2 (2,12) (0,12)
2 null null
3 (11,8) (10,8)
0 (0,2) (0,3)
1 (8,7) (6,9)
1 null null
2 (1,11) (1,9)
2 null null
3 (12,11) (14,9)
3 (14,9) (12,11)
3 (12,11) (14,9)
3 null null
0 (3,1) (3,2)
1 (7,8) (5,10)
1 null null
2 (0,11) (0,10)
3 (10,14) (11,15)
0 (7,3) (6,3)
1 (6,9) (4,11)
1 null null
2 (1,10) (0,9)
3 (12,12) (12,13)
0 (0,3) (1,2)
1 (7,7) (6,8)
2 (1,12) (1,13)
3 (14,13) (15,13)
0 (8,3) (7,4)
1 (3,10) (1,12)
1 null null
2 (1,9) (2,9)
3 (14,12) (15,11)
0 (1,2) (2,2)
1 (6,8) (4,10)
1 (4,10) (4,12)
1 (4,12) (2,12)
1 null null
2 (0,9) (1,10)
3 (13,10) (14,10)
0 (4,6) (3,6)
1 (11,2) (12,3)
2 (2,10) (2,8)
2 (2,8) (2,10)
2 null null
3 (15,13) (15,14)
0 (2,4) (1,4)
1 (12,3) (11,4)
2 (2,9) (1,8)
3 (12,14) (12,15)
0 (2,0) (2,1)
1 (11,4) (10,5)
2 (1,10) (2,9)
3 (12,13) (12,14)
0 (7,4) (8,5)
1 (10,5) (9,6)
2 (2,10) (3,11)
3 (11,15) (10,14)
0 (1,1) (0,2)
1 (9,6) (8,7)
2 (4,13) (5,14)
3 (12,15) (11,14)
0 (5,5) (4,6)
1 (8,7) (7,8)
2 (5,14) (5,13)
3 (12,14) (11,13)
0 (0,2) (1,2)
1 (12,0) (13,1)
2 (3,15) (2,15)
3 (10,14) (10,15)
0 (3,2) (4,2)
1 (13,1) (12,2)
2 (3,11) (2,10)
3 (14,15) (15,15)
0 (8,5) (9,4)
1 (14,2) (13,3)
2 (5,13) (6,12)
3 (13,9) (14,8)
0 (1,4) (0,5)
1 (12,2) (11,3)
2 (2,10) (3,9)
3 (14,8) (14,7)
0 (1,6) (0,7)
1 (13,3) (12,4)
2 (6,12) (5,11)
3 (11,13) (10,14)
0 (2,2) (2,0)
0 null null
1 (11,3) (10,4)
2 (3,13) (1,15)
2 null null
3 (14,9) (15,8)
0 (6,3) (5,2)
1 (12,4) (11,5)
2 (2,11) (4,13)
2 null null
3 (14,7) (15,6)
0 (4,6) (3,5)
1 (11,5) (10,5)
2 (1,13) (3,11)
2 (3,11) (1,13)
2 null null
3 (13,15) (14,15)
0 (2,1) (2,2)
1 (10,4) (9,5)
2 (2,9) (4,9)
2 (4,9) (6,11)
2 null null
3 (11,14) (11,15)
0 (5,2) (3,2)
0 (3,2) (5,2)
0 (5,2) (3,2)
0 null null
1 (10,5) (9,6)
2 (0,10) (0,11)
3 (10,8) (11,7)
0 (1,2) (2,1)
1 (9,5) (8,6)
2 (0,11) (1,11)
3 (11,7) (12,7)
0 (0,5) (1,5)
1 (9,6) (8,7)
2 (4,13) (5,14)
3 (14,10) (14,9)
0 (1,5) (1,6)
1 (8,7) (6,9)
1 null null
2 (1,8) (0,8)
3 (12,7) (12,6)
0 (3,5) (3,7)
0 (3,7) (3,5)
0 null null
1 (8,6) (7,7)
2 (2,15) (3,14)
3 (14,9) (14,10)
0 (1,6) (1,7)
1 (7,7) (6,8)
2 (0,8) (2,6)
2 (2,6) (0,8)
2 (0,8) (2,6)
2 (2,6) (4,6)
2 (4,6) (2,6)
2 (2,6) (4,4)
2 (4,4) (2,6)
2 (2,6) (4,6)
2 null null
3 (10,14) (10,13)
0 (3,6) (2,6)
1 (6,8) (4,10)
1 (4,10) (4,12)
1 null null
2 (0,12) (2,10)
2 (2,10) (0,12)
2 (0,12) (2,10)
2 null null
3 (15,6) (14,5)
0 (0,7) (2,7)
0 (2,7) (0,7)
0 null null
1 (4,12) (3,13)
2 (5,14) (6,14)
3 (15,8) (14,7)
0 (0,1) (1,0)
1 (5,9) (4,10)
2 (6,14) (5,15)
3 (15,12) (14,12)
0 (3,2) (4,3)
1 (4,10) (3,11)
2 (6,11) (7,10)
3 (11,15) (12,14)
0 (9,4) (10,5)
1 (3,13) (3,15)
1 null null
2 (0,13) (2,11)
2 null null
3 (12,14) (12,13)
0 (4,3) (4,1)
0 (4,1) (4,3)
0 null null
1 (1,12) (0,13)
2 (2,10) (1,10)
3 (10,15) (10,14)
0 (1,7) (2,7)
1 (3,15) (2,15)
2 (3,14) (1,12)
2 null null
3 (12,6) (11,5)
0 (2,7) (3,6)
1 (3,11) (3,13)
1 null null
2 (1,10) (0,9)
3 (14,5) (14,6)
0 (3,6) (4,7)
1 (3,12) (3,14)
1 null null
2 (3,9) (4,8)
