# Server version 0.08 running on web112092.wireless.mcgill.ca:8123
# Game ID: 332
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 09 20:21:11 EDT 2014
# Player 1: Player-0, '260498767', running on wpa168103.wireless.mcgill.ca
# Player 2: Player-1, '260467886', running on 142.157.166.243
# Player 3: Player-2, '260507016', running on 142.157.166.58
# Player 4: Player-3, 's260488774Player', running on web112092.wireless.mcgill.ca
START Player-0 260498767
START Player-1 260467886
START Player-2 260507016
START Player-3 s260488774Player
1 (3,13) (1,15)
1 null null
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (5,15)
2 (5,15) (5,13)
2 (5,13) (7,11)
2 (7,11) (5,11)
2 (5,11) (7,13)
0 null null
3 (12,13) (11,12)
0 (9,8) (10,9)
1 (3,11) (5,11)
1 (5,11) (7,11)
1 (7,11) (5,13)
1 (5,13) (5,15)
1 (5,15) (3,13)
1 (3,13) (3,15)
1 (3,15) (1,13)
1 null null
2 (4,14) (6,14)
2 (6,14) (8,12)
0 null null
3 (11,12) (10,11)
0 (1,4) (2,4)
1 (3,8) (1,10)
1 null null
2 (7,13) (9,11)
2 (9,11) (11,9)
2 (11,9) (13,7)
2 (13,7) (11,5)
0 null null
3 (15,14) (13,14)
3 null null
0 (6,4) (7,5)
1 (2,9) (0,11)
1 (0,11) (2,13)
1 null null
2 (12,8) (10,6)
2 (10,6) (12,4)
2 (12,4) (12,2)
2 (12,2) (12,0)
2 (12,0) (14,2)
2 (14,2) (14,0)
0 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (7,5) (8,6)
1 (3,12) (1,14)
1 null null
2 (3,14) (4,13)
3 (13,12) (11,10)
3 (11,10) (9,8)
3 null null
0 (2,2) (4,2)
0 null null
1 (5,14) (3,12)
1 (3,12) (5,10)
1 (5,10) (7,12)
1 (7,12) (5,12)
1 (5,12) (3,14)
1 null null
2 (1,12) (2,11)
3 (4,4) (2,2)
3 null null
0 (2,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (6,9)
0 null null
1 (1,10) (3,12)
1 (3,12) (5,10)
1 (5,10) (7,12)
1 (7,12) (5,12)
1 (5,12) (7,10)
1 (7,10) (5,8)
1 (5,8) (3,10)
1 (3,10) (1,12)
1 null null
2 (2,11) (3,10)
3 (9,8) (8,8)
0 (2,4) (4,4)
0 null null
1 (8,4) (7,5)
2 (3,10) (5,8)
2 (5,8) (7,8)
2 (7,8) (9,8)
2 (9,8) (9,10)
2 (9,10) (11,8)
2 (11,8) (11,6)
2 (11,6) (11,4)
2 (11,4) (13,2)
2 (13,2) (13,0)
2 (13,0) (15,2)
0 null null
3 (9,9) (7,7)
3 null null
0 (3,4) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (9,6)
0 null null
1 (7,5) (9,7)
1 (9,7) (11,9)
1 (11,9) (9,11)
1 (9,11) (7,13)
1 (7,13) (5,11)
1 null null
2 (4,13) (5,12)
3 (11,11) (9,9)
3 null null
0 (3,2) (3,4)
0 (3,4) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,6)
0 null null
1 (14,1) (13,2)
2 (5,12) (3,10)
2 (3,10) (5,8)
2 (5,8) (7,8)
2 (7,8) (5,10)
2 (5,10) (7,12)
2 (7,12) (9,12)
2 (9,12) (11,10)
2 (11,10) (9,10)
2 (9,10) (9,8)
2 (9,8) (11,8)
2 (11,8) (11,6)
2 (11,6) (11,4)
2 (11,4) (9,2)
0 null null
3 (12,11) (11,11)
0 (7,6) (8,7)
1 (13,2) (11,4)
1 (11,4) (11,6)
1 null null
2 (12,6) (10,6)
2 (10,6) (12,4)
2 (12,4) (12,2)
2 (12,2) (12,0)
2 (12,0) (14,2)
0 null null
3 (13,14) (12,13)
0 (8,7) (8,9)
0 null null
1 (11,6) (11,8)
GAMEOVER TIMEOUT Player-1
WINNER Player-0
# Game ended: Wed Apr 09 20:21:36 EDT 2014
