# Server version 0.08 running on web112016.wireless.mcgill.ca:8123
# Game ID: 224
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 20:48:12 EDT 2014
# Player 1: Player-0, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 2: Player-1, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 3: Player-2, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 4: Player-3, 's260488774Player', running on web112016.wireless.mcgill.ca
START Player-0 s260488774Player
START Player-1 s260488774Player
START Player-2 s260488774Player
START Player-3 s260488774Player
0 (2,0) (4,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (3,1) (5,3)
0 null null
1 (13,2) (11,4)
1 null null
2 (3,14) (5,12)
2 null null
3 (13,13) (11,11)
3 null null
0 (4,2) (6,4)
0 null null
1 (12,3) (10,5)
1 null null
2 (4,13) (6,11)
2 null null
3 (12,12) (10,10)
3 null null
0 (5,3) (7,5)
0 null null
1 (11,4) (9,6)
1 null null
2 (5,12) (7,10)
2 null null
3 (11,11) (9,9)
3 null null
0 (6,4) (8,6)
0 (8,6) (10,6)
0 null null
1 (10,5) (8,7)
1 null null
2 (6,11) (8,9)
2 (8,9) (10,9)
2 null null
3 (10,10) (8,8)
3 (8,8) (8,6)
3 (8,6) (6,4)
3 null null
0 (10,6) (11,7)
1 (9,6) (7,8)
1 null null
2 (10,9) (11,8)
3 (6,4) (5,3)
0 (11,7) (12,8)
1 (8,7) (6,9)
1 (6,9) (8,11)
1 null null
2 (11,8) (13,8)
2 null null
3 (5,3) (4,2)
0 (12,8) (14,8)
0 null null
1 (8,11) (7,12)
2 (13,8) (15,8)
2 null null
3 (4,2) (3,1)
0 (14,8) (15,9)
1 (7,12) (6,13)
2 (2,13) (0,11)
2 null null
3 (3,1) (2,0)
0 (2,2) (0,4)
0 null null
1 (6,13) (5,14)
2 (1,13) (1,11)
2 null null
3 (13,15) (11,15)
3 null null
0 (1,2) (1,4)
0 null null
1 (5,14) (4,15)
2 (1,12) (1,10)
2 null null
3 (15,13) (15,11)
3 null null
0 (0,3) (0,5)
0 null null
1 (4,15) (2,15)
1 null null
2 (0,12) (0,10)
2 null null
3 (15,12) (15,10)
3 null null
0 (0,4) (0,6)
0 null null
1 (13,0) (11,0)
1 null null
2 (0,14) (0,12)
2 (0,12) (2,10)
2 null null
3 (12,15) (10,15)
3 null null
0 (0,1) (0,3)
0 (0,3) (2,5)
0 null null
1 (15,2) (15,4)
1 null null
2 (0,11) (0,9)
2 null null
3 (11,15) (9,15)
3 null null
0 (0,5) (0,7)
0 null null
1 (15,3) (15,5)
1 null null
2 (0,10) (0,8)
2 null null
3 (10,15) (8,15)
3 null null
0 (1,1) (3,1)
0 null null
1 (15,4) (15,6)
1 null null
2 (1,11) (1,9)
2 null null
3 (9,15) (7,15)
3 null null
0 (2,1) (4,1)
0 null null
1 (15,5) (15,7)
1 null null
2 (1,10) (1,8)
2 null null
3 (8,15) (6,15)
3 null null
0 (3,1) (5,1)
0 null null
1 (13,1) (11,1)
1 null null
2 (1,9) (1,7)
2 null null
3 (7,15) (5,15)
3 null null
0 (4,1) (6,1)
0 null null
1 (12,0) (10,0)
1 null null
2 (1,8) (1,6)
2 (1,6) (3,4)
2 null null
3 (6,15) (4,15)
3 null null
0 (5,1) (7,1)
0 null null
1 (11,0) (9,0)
1 null null
2 (1,14) (3,14)
2 null null
3 (13,14) (11,14)
3 null null
0 (6,1) (8,1)
0 null null
1 (10,0) (8,0)
1 (8,0) (6,2)
1 null null
2 (2,14) (4,14)
2 null null
3 (12,14) (10,14)
3 null null
0 (7,1) (9,1)
0 null null
1 (14,2) (14,4)
1 null null
2 (3,14) (5,14)
2 null null
3 (11,14) (9,14)
3 null null
0 (8,1) (10,1)
0 null null
1 (14,3) (14,5)
1 null null
2 (4,14) (6,14)
2 null null
3 (10,14) (8,14)
3 null null
0 (1,3) (1,5)
0 null null
1 (14,4) (14,6)
1 null null
2 (5,14) (7,14)
2 null null
3 (14,13) (14,11)
3 null null
0 (1,4) (1,6)
0 (1,6) (1,8)
0 null null
1 (14,5) (14,7)
1 null null
2 (7,10) (8,11)
3 (14,12) (14,10)
3 null null
0 (7,5) (8,4)
1 (14,6) (14,8)
1 null null
2 (7,14) (8,15)
3 (14,11) (14,9)
3 null null
0 (10,1) (11,0)
1 (12,1) (10,1)
1 (10,1) (8,1)
1 null null
2 (2,10) (1,9)
3 (9,14) (7,14)
3 (7,14) (5,14)
3 null null
0 (1,8) (1,10)
0 null null
1 (6,2) (5,1)
2 (3,4) (2,3)
3 (9,9) (10,8)
0 (1,10) (0,11)
1 (5,1) (4,0)
2 (8,11) (9,12)
3 (10,8) (11,7)
0 (3,0) (5,0)
0 null null
1 (11,1) (10,0)
2 (9,12) (10,13)
3 (11,7) (12,6)
0 (1,0) (3,0)
0 null null
1 (10,0) (8,0)
1 null null
2 (6,14) (7,15)
3 (12,6) (13,5)
0 (2,5) (1,6)
1 (9,0) (7,0)
1 null null
2 (7,15) (9,15)
2 null null
3 (8,14) (7,15)
0 (1,6) (1,8)
0 (1,8) (1,10)
0 null null
1 (8,0) (6,0)
1 null null
2 (8,15) (10,15)
2 null null
3 (13,5) (14,4)
0 (9,1) (10,0)
1 (7,8) (8,9)
2 (9,15) (11,15)
2 null null
3 (14,4) (15,3)
0 (10,0) (12,0)
0 null null
1 (8,9) (9,10)
2 (10,15) (12,15)
2 null null
3 (2,0) (1,0)
0 (11,0) (13,0)
0 null null
1 (4,0) (2,0)
1 null null
2 (11,15) (13,15)
2 null null
3 (7,15) (6,15)
0 (8,4) (9,3)
1 (6,0) (4,0)
1 null null
2 (10,13) (11,14)
3 (5,14) (4,14)
0 (9,3) (10,2)
1 (9,10) (10,11)
2 (2,3) (1,2)
3 (15,3) (15,2)
0 (10,2) (11,1)
1 (15,1) (15,3)
1 null null
2 (1,2) (0,1)
3 (15,14) (15,13)
0 (11,1) (12,1)
1 (10,11) (11,12)
2 (1,9) (1,8)
3 (15,2) (15,1)
0 (5,0) (6,0)
1 (7,0) (5,0)
1 null null
2 (1,8) (1,6)
2 (1,6) (1,4)
2 null null
3 (15,13) (15,12)
0 (0,11) (0,12)
1 (11,12) (12,13)
2 (0,13) (0,11)
2 (0,11) (2,9)
2 null null
3 (4,14) (3,14)
0 (1,10) (0,11)
1 (12,13) (13,14)
